date,hour,day_of_week,is_weekend,is_holiday,is_closed_day,semester_type,event_nearby,available_spots,temperature_C,rain_mm,wind_speed_kmh,humidity_percent
2021-09-01,7,2,0,0,0,Fall,0,4,29.0,0.0,9.4,58.0
2021-09-01,8,2,0,0,0,Fall,0,6,30.0,0.0,7.6,59.0
2021-09-01,9,2,0,0,0,Fall,0,4,29.0,0.0,11.2,62.0
2021-09-01,10,2,0,0,0,Fall,0,8,30.0,0.0,9.4,59.0
2021-09-01,11,2,0,0,0,Fall,0,8,30.0,0.0,11.2,59.0
2021-09-01,12,2,0,0,0,Fall,0,6,30.0,0.0,11.2,59.0
2021-09-01,13,2,0,0,0,Fall,0,6,30.0,0.0,11.2,59.0
2021-09-01,14,2,0,0,0,Fall,0,8,29.0,0.0,11.2,66.0
2021-09-01,15,2,0,0,0,Fall,0,7,29.0,0.0,9.4,66.0
2021-09-01,16,2,0,0,0,Fall,0,8,28.0,0.0,5.4,70.0
2021-09-01,17,2,0,0,0,Fall,0,8,28.0,0.0,7.6,70.0
2021-09-01,18,2,0,0,0,Fall,0,8,28.0,0.0,3.6,70.0
2021-09-01,19,2,0,0,0,Fall,0,8,28.0,0.0,3.6,70.0
2021-09-01,20,2,0,0,0,Fall,0,8,28.0,0.0,3.6,70.0
2021-09-01,21,2,0,0,0,Fall,0,8,28.0,0.0,7.6,70.0
2021-09-01,22,2,0,0,0,Fall,0,8,28.0,0.0,9.4,66.0
2021-09-02,7,3,0,0,0,Fall,0,4,29.0,0.0,9.4,52.0
2021-09-02,8,3,0,0,0,Fall,0,4,30.0,0.0,11.2,52.0
2021-09-02,9,3,0,0,0,Fall,0,4,30.0,0.0,13.0,55.0
2021-09-02,10,3,0,0,0,Fall,0,8,31.0,0.0,11.2,52.0
2021-09-02,11,3,0,0,0,Fall,0,6,31.0,0.0,13.0,55.0
2021-09-02,12,3,0,0,0,Fall,0,8,31.0,0.0,13.0,55.0
2021-09-02,13,3,0,0,0,Fall,0,8,30.0,0.0,11.2,62.0
2021-09-02,14,3,0,0,0,Fall,0,8,29.0,0.0,9.4,66.0
2021-09-02,15,3,0,0,0,Fall,0,8,29.0,0.0,9.4,66.0
2021-09-02,16,3,0,0,0,Fall,0,7,29.0,0.0,9.4,62.0
